"days","degdays","subj","taxa","counts","fracBySubjDay"
0,0,"A1","Actinomycetales",8037,0.29703958310234
0,0,"A1","Bacillales",1923,0.071072180951325
0,0,"A1","Bacteroidales",2304,0.0851535646967513
0,0,"A1","Bifidobacteriales",179,0.00661566322947851
0,0,"A1","Burkholderiales",262,0.00968326126325905
0,0,"A1","Caulobacterales",47,0.0017370735853938
0,0,"A1","Clostridiales",6179,0.228369737960602
0,0,"A1","Enterobacteriales",88,0.00325239309605647
0,0,"A1","Flavobacteriales",763,0.0281997265033078
0,0,"A1","Fusobacteriales",0,0
0,0,"A1","JG30_KF_CM45",609,0.022508038585209
0,0,"A1","Lactobacillales",3153,0.116531766271205
0,0,"A1","Pseudomonadales",1359,0.0502272979265994
0,0,"A1","Rare",997,0.0368481354178216
0,0,"A1","Rhizobiales",341,0.0126030232472188
0,0,"A1","Rhodobacterales",130,0.00480467161917434
0,0,"A1","Rhodospirillales",8,0.000295672099641498
0,0,"A1","Sphingobacteriales",184,0.00680045829175444
0,0,"A1","Streptophyta",3,0.000110877037365562
0,0,"A1","Turicibacterales",273,0.0100898104002661
0,0,"A1","Verrucomicrobiales",0,0
0,0,"A1","Xanthomonadales",218,0.00805706471523081
0,0,"A2","Actinomycetales",13075,0.262407931442792
0,0,"A2","Bacillales",3114,0.0624962369799506
0,0,"A2","Bacteroidales",2355,0.0472635318200975
0,0,"A2","Bifidobacteriales",233,0.00467617958135148
0,0,"A2","Burkholderiales",810,0.016256246613282
0,0,"A2","Caulobacterales",414,0.00830874826901078
0,0,"A2","Clostridiales",10711,0.214963774660325
0,0,"A2","Enterobacteriales",92,0.00184638850422462
0,0,"A2","Flavobacteriales",5781,0.116021434162201
0,0,"A2","Fusobacteriales",15,0.000301041603949666
0,0,"A2","JG30_KF_CM45",497,0.0099745118108656
0,0,"A2","Lactobacillales",3379,0.0678146386497281
0,0,"A2","Pseudomonadales",4461,0.0895297730146306
0,0,"A2","Rare",1100,0.0220763842896422
0,0,"A2","Rhizobiales",756,0.0151724968390632
0,0,"A2","Rhodobacterales",648,0.0130049972906256
0,0,"A2","Rhodospirillales",6,0.000120416641579866
0,0,"A2","Sphingobacteriales",1382,0.0277359664438959
0,0,"A2","Streptophyta",0,0
0,0,"A2","Turicibacterales",460,0.00923194252112309
0,0,"A2","Verrucomicrobiales",5,0.000100347201316555
0,0,"A2","Xanthomonadales",533,0.0106970116603448
0,0,"A3","Actinomycetales",29445,0.322642501807981
0,0,"A3","Bacillales",8222,0.0900922618395389
0,0,"A3","Bacteroidales",5409,0.0592689180600907
0,0,"A3","Bifidobacteriales",792,0.00867831079748417
0,0,"A3","Burkholderiales",750,0.00821809734610243
0,0,"A3","Caulobacterales",216,0.0023668120356775
0,0,"A3","Clostridiales",21736,0.238171418553177
0,0,"A3","Enterobacteriales",273,0.00299138743398128
0,0,"A3","Flavobacteriales",2410,0.0264074861388091
0,0,"A3","Fusobacteriales",13,0.000142447020665775
0,0,"A3","JG30_KF_CM45",1450,0.015888321535798
0,0,"A3","Lactobacillales",10612,0.116280598715785
0,0,"A3","Pseudomonadales",4197,0.0459884727487892
0,0,"A3","Rare",2252,0.0246762069645636
0,0,"A3","Rhizobiales",1068,0.0117025706208499
0,0,"A3","Rhodobacterales",266,0.00291468519208433
0,0,"A3","Rhodospirillales",15,0.000164361946922049
0,0,"A3","Sphingobacteriales",513,0.00562117858473406
0,0,"A3","Streptophyta",3,3.28723893844097e-05
0,0,"A3","Turicibacterales",947,0.0103767175823453
0,0,"A3","Verrucomicrobiales",3,3.28723893844097e-05
0,0,"A3","Xanthomonadales",670,0.0073415002958515
0,0,"A4","Actinomycetales",17903,0.338296706411443
0,0,"A4","Bacillales",4922,0.0930065569433684
0,0,"A4","Bacteroidales",3193,0.0603352166436764
0,0,"A4","Bifidobacteriales",419,0.00791746187713762
0,0,"A4","Burkholderiales",784,0.0148145348727348
0,0,"A4","Caulobacterales",124,0.00234311520946316
0,0,"A4","Clostridiales",9878,0.186655580960299
0,0,"A4","Enterobacteriales",207,0.00391149071257157
0,0,"A4","Flavobacteriales",2148,0.0405888021768296
0,0,"A4","Fusobacteriales",14,0.000264545265584551
0,0,"A4","JG30_KF_CM45",1387,0.0262088773832694
0,0,"A4","Lactobacillales",5224,0.0987131762438351
0,0,"A4","Pseudomonadales",2815,0.0531924944728936
0,0,"A4","Rare",1226,0.0231666068290471
0,0,"A4","Rhizobiales",691,0.0130571984656375
0,0,"A4","Rhodobacterales",245,0.00462954214772963
0,0,"A4","Rhodospirillales",13,0.000245649175185654
0,0,"A4","Sphingobacteriales",762,0.0143988208839591
0,0,"A4","Streptophyta",0,0
0,0,"A4","Turicibacterales",281,0.00530980140208991
0,0,"A4","Verrucomicrobiales",13,0.000245649175185654
0,0,"A4","Xanthomonadales",672,0.0126981727480584
0,0,"A5","Actinomycetales",22735,0.300294548864732
0,0,"A5","Bacillales",5557,0.0733994637361476
0,0,"A5","Bacteroidales",6007,0.0793432749078709
0,0,"A5","Bifidobacteriales",349,0.00460975577540319
0,0,"A5","Burkholderiales",1090,0.0143972315048409
0,0,"A5","Caulobacterales",157,0.00207372967546791
0,0,"A5","Clostridiales",13292,0.175566973543436
0,0,"A5","Enterobacteriales",360,0.00475504893737865
0,0,"A5","Flavobacteriales",4767,0.0629647730124556
0,0,"A5","Fusobacteriales",12,0.000158501631245955
0,0,"A5","JG30_KF_CM45",2031,0.0268264010883779
0,0,"A5","Lactobacillales",8038,0.106169675996249
0,0,"A5","Pseudomonadales",5042,0.0665971020618421
0,0,"A5","Rare",2545,0.0336155542934129
0,0,"A5","Rhizobiales",795,0.0105007330700445
