"days","degdays","subj","taxa","type","counts","fracBySubjDay"
0,0,"A1","Acari","euk",1,3.61284728494527e-05
0,0,"A1","Actinomycetales","bac",8037,0.29703958310234
0,0,"A1","Ascaridida","euk",30,0.00108385418548358
0,0,"A1","Bacillales","bac",1923,0.071072180951325
0,0,"A1","Bacteroidales","bac",2304,0.0851535646967513
0,0,"A1","Burkholderiales","bac",262,0.00968326126325905
0,0,"A1","Capnodiales","euk",217,0.00783987860833123
0,0,"A1","Chromulinales","euk",123,0.00444380216048268
0,0,"A1","Clostridiales","bac",6179,0.228369737960602
0,0,"A1","Coccidia","euk",97,0.00350446186639691
0,0,"A1","Coleoptera","euk",6,0.000216770837096716
0,0,"A1","Collembola","euk",4,0.000144513891397811
0,0,"A1","Conthreep","euk",896,0.0323711116731096
0,0,"A1","Diptera","euk",589,0.0212796705083276
0,0,"A1","Enterobacteriales","bac",88,0.00325239309605647
0,0,"A1","Eurotiales","euk",2218,0.080132952780086
0,0,"A1","Eustigmatales","euk",311,0.0112359550561798
0,0,"A1","Fabales","euk",23,0.000830954875537411
0,0,"A1","Filobasidiales","euk",749,0.02706022616424
0,0,"A1","Flavobacteriales","bac",763,0.0281997265033078
0,0,"A1","JG30_KF_CM45","bac",609,0.022508038585209
0,0,"A1","Lactobacillales","bac",3153,0.116531766271205
0,0,"A1","Liliopsida","euk",1653,0.0597203656201452
0,0,"A1","Litostomatea","euk",2913,0.105242241410456
0,0,"A1","Malasseziales","euk",38,0.0013728819682792
0,0,"A1","Metakinetoplastina","euk",52,0.00187868058817154
0,0,"A1","Mucorales","euk",1336,0.0482676397268687
0,0,"A1","Peronosporomycetes","euk",577,0.0208461288341342
0,0,"A1","Pleosporales","euk",265,0.00957404530510495
0,0,"A1","Pseudomonadales","bac",1359,0.0502272979265994
0,0,"A1","Ranunculales","euk",4,0.000144513891397811
0,0,"A1","Rare","bac",1364,0.0504120929888753
0,0,"A1","Rare","euk",3420,0.123559377145128
0,0,"A1","Rhabditida","euk",1975,0.071353733877669
0,0,"A1","Rhizobiales","bac",341,0.0126030232472188
0,0,"A1","Saccharomycetales","euk",6522,0.23562989992413
0,0,"A1","Sphingobacteriales","bac",184,0.00680045829175444
0,0,"A1","Spirotrichea","euk",308,0.0111275696376314
0,0,"A1","Sporidiobolales","euk",160,0.00578055565591242
0,0,"A1","Taphrinales","euk",46,0.00166190975107482
0,0,"A1","Tremellales","euk",51,0.00184255211532209
0,0,"A1","Trichosporonales","euk",3095,0.111817623469056
0,0,"A1","Turicibacterales","bac",273,0.0100898104002661
0,0,"A1","Xanthomonadales","bac",218,0.00805706471523081
0,0,"A2","Acari","euk",4,0.000641848523748395
0,0,"A2","Actinomycetales","bac",13075,0.262407931442792
0,0,"A2","Ascaridida","euk",131,0.0210205391527599
0,0,"A2","Bacillales","bac",3114,0.0624962369799506
0,0,"A2","Bacteroidales","bac",2355,0.0472635318200975
0,0,"A2","Burkholderiales","bac",810,0.016256246613282
0,0,"A2","Capnodiales","euk",40,0.00641848523748395
0,0,"A2","Chromulinales","euk",2,0.000320924261874198
0,0,"A2","Clostridiales","bac",10711,0.214963774660325
0,0,"A2","Coccidia","euk",8,0.00128369704749679
0,0,"A2","Coleoptera","euk",21,0.00336970474967908
0,0,"A2","Collembola","euk",0,0
0,0,"A2","Conthreep","euk",64,0.0102695763799743
0,0,"A2","Diptera","euk",304,0.0487804878048781
0,0,"A2","Enterobacteriales","bac",92,0.00184638850422462
0,0,"A2","Eurotiales","euk",394,0.0632220795892169
0,0,"A2","Eustigmatales","euk",0,0
0,0,"A2","Fabales","euk",16,0.00256739409499358
0,0,"A2","Filobasidiales","euk",255,0.0409178433889602
0,0,"A2","Flavobacteriales","bac",5781,0.116021434162201
0,0,"A2","JG30_KF_CM45","bac",497,0.0099745118108656
0,0,"A2","Lactobacillales","bac",3379,0.0678146386497281
0,0,"A2","Liliopsida","euk",69,0.0110718870346598
0,0,"A2","Litostomatea","euk",680,0.109114249037227
0,0,"A2","Malasseziales","euk",4,0.000641848523748395
0,0,"A2","Metakinetoplastina","euk",4,0.000641848523748395
0,0,"A2","Mucorales","euk",252,0.0404364569961489
0,0,"A2","Peronosporomycetes","euk",5,0.000802310654685494
0,0,"A2","Pleosporales","euk",167,0.0267971758664955
0,0,"A2","Pseudomonadales","bac",4461,0.0895297730146306
0,0,"A2","Ranunculales","euk",0,0
0,0,"A2","Rare","bac",2421,0.0485881148774761
0,0,"A2","Rare","euk",159,0.0255134788189988
0,0,"A2","Rhabditida","euk",1869,0.299903722721438
0,0,"A2","Rhizobiales","bac",756,0.0151724968390632
0,0,"A2","Saccharomycetales","euk",985,0.158055198973042
0,0,"A2","Sphingobacteriales","bac",1382,0.0277359664438959
0,0,"A2","Spirotrichea","euk",5,0.000802310654685494
0,0,"A2","Sporidiobolales","euk",28,0.00449293966623877
0,0,"A2","Taphrinales","euk",1,0.000160462130937099
0,0,"A2","Tremellales","euk",10,0.00160462130937099
0,0,"A2","Trichosporonales","euk",755,0.12114890885751
0,0,"A2","Turicibacterales","bac",460,0.00923194252112309
0,0,"A2","Xanthomonadales","bac",533,0.0106970116603448
0,0,"A3","Acari","euk",0,0
0,0,"A3","Actinomycetales","bac",29445,0.322642501807981
0,0,"A3","Ascaridida","euk",17,0.000814839668312323
0,0,"A3","Bacillales","bac",8222,0.0900922618395389
0,0,"A3","Bacteroidales","bac",5409,0.0592689180600907
0,0,"A3","Burkholderiales","bac",750,0.00821809734610243
0,0,"A3","Capnodiales","euk",63,0.00301969994727508
0,0,"A3","Chromulinales","euk",21,0.00100656664909169
0,0,"A3","Clostridiales","bac",21736,0.238171418553177
0,0,"A3","Coccidia","euk",54,0.0025883142405215
0,0,"A3","Coleoptera","euk",3,0.000143795235584528
0,0,"A3","Collembola","euk",0,0
0,0,"A3","Conthreep","euk",113,0.00541628720701721
0,0,"A3","Diptera","euk",1023,0.0490341753343239
0,0,"A3","Enterobacteriales","bac",273,0.00299138743398128
0,0,"A3","Eurotiales","euk",1441,0.0690696448257681
0,0,"A3","Eustigmatales","euk",0,0
0,0,"A3","Fabales","euk",35,0.00167761108181949
0,0,"A3","Filobasidiales","euk",937,0.0449120452475675
0,0,"A3","Flavobacteriales","bac",2410,0.0264074861388091
0,0,"A3","JG30_KF_CM45","bac",1450,0.015888321535798
0,0,"A3","Lactobacillales","bac",10612,0.116280598715785
0,0,"A3","Liliopsida","euk",256,0.0122705267698797
0,0,"A3","Litostomatea","euk",8236,0.394765853424723
0,0,"A3","Malasseziales","euk",45,0.00215692853376791
0,0,"A3","Metakinetoplastina","euk",125,0.00599146814935532
0,0,"A3","Mucorales","euk",702,0.0336480851267795
0,0,"A3","Peronosporomycetes","euk",0,0
0,0,"A3","Pleosporales","euk",90,0.00431385706753583
0,0,"A3","Pseudomonadales","bac",4197,0.0459884727487892
0,0,"A3","Ranunculales","euk",0,0
0,0,"A3","Rare","bac",3560,0.0390085687361662
0,0,"A3","Rare","euk",378,0.0181181996836505
0,0,"A3","Rhabditida","euk",2336,0.111968556775152
0,0,"A3","Rhizobiales","bac",1068,0.0117025706208499
0,0,"A3","Saccharomycetales","euk",2274,0.108996788573072
0,0,"A3","Sphingobacteriales","bac",513,0.00562117858473406
0,0,"A3","Spirotrichea","euk",30,0.00143795235584528
0,0,"A3","Sporidiobolales","euk",93,0.00445765230312036
0,0,"A3","Taphrinales","euk",0,0
0,0,"A3","Tremellales","euk",28,0.00134208886545559
0,0,"A3","Trichosporonales","euk",2563,0.122849062934381
0,0,"A3","Turicibacterales","bac",947,0.0103767175823453
0,0,"A3","Xanthomonadales","bac",670,0.0073415002958515
0,0,"A4","Acari","euk",1,3.84763370527126e-05
0,0,"A4","Actinomycetales","bac",17903,0.338296706411443
0,0,"A4","Ascaridida","euk",561,0.0215852250865718
0,0,"A4","Bacillales","bac",4922,0.0930065569433684
0,0,"A4","Bacteroidales","bac",3193,0.0603352166436764
0,0,"A4","Burkholderiales","bac",784,0.0148145348727348
0,0,"A4","Capnodiales","euk",198,0.00761831473643709
0,0,"A4","Chromulinales","euk",8,0.000307810696421701
0,0,"A4","Clostridiales","bac",9878,0.186655580960299
0,0,"A4","Coccidia","euk",24,0.000923432089265102
0,0,"A4","Coleoptera","euk",2,7.69526741054252e-05
0,0,"A4","Collembola","euk",0,0
0,0,"A4","Conthreep","euk",68,0.00261639091958446
0,0,"A4","Diptera","euk",1389,0.0534436321662178
0,0,"A4","Enterobacteriales","bac",207,0.00391149071257157
0,0,"A4","Eurotiales","euk",1031,0.0396691035013467
0,0,"A4","Eustigmatales","euk",0,0
0,0,"A4","Fabales","euk",12,0.000461716044632551
0,0,"A4","Filobasidiales","euk",1388,0.0534051558291651
0,0,"A4","Flavobacteriales","bac",2148,0.0405888021768296
0,0,"A4","JG30_KF_CM45","bac",1387,0.0262088773832694
0,0,"A4","Lactobacillales","bac",5224,0.0987131762438351
0,0,"A4","Liliopsida","euk",628,0.0241631396691035
0,0,"A4","Litostomatea","euk",967,0.0372066179299731
0,0,"A4","Malasseziales","euk",10,0.000384763370527126
0,0,"A4","Metakinetoplastina","euk",8,0.000307810696421701
0,0,"A4","Mucorales","euk",1901,0.0731435167372066
0,0,"A4","Peronosporomycetes","euk",0,0
0,0,"A4","Pleosporales","euk",144,0.00554059253559061
0,0,"A4","Pseudomonadales","bac",2815,0.0531924944728936
0,0,"A4","Ranunculales","euk",0,0
0,0,"A4","Rare","bac",2054,0.0388125696793333
0,0,"A4","Rare","euk",495,0.0190457868410928
0,0,"A4","Rhabditida","euk",8707,0.335013466717968
0,0,"A4","Rhizobiales","bac",691,0.0130571984656375
0,0,"A4","Saccharomycetales","euk",3588,0.138053097345133
0,0,"A4","Sphingobacteriales","bac",762,0.0143988208839591
0,0,"A4","Spirotrichea","euk",12,0.000461716044632551
0,0,"A4","Sporidiobolales","euk",186,0.00715659869180454
0,0,"A4","Taphrinales","euk",0,0
0,0,"A4","Tremellales","euk",50,0.00192381685263563
0,0,"A4","Trichosporonales","euk",4612,0.17745286648711
0,0,"A4","Turicibacterales","bac",281,0.00530980140208991
0,0,"A4","Xanthomonadales","bac",672,0.0126981727480584
0,0,"A5","Acari","euk",0,0
0,0,"A5","Actinomycetales","bac",22735,0.300294548864732
0,0,"A5","Ascaridida","euk",1,0.000286861732644865
0,0,"A5","Bacillales","bac",5557,0.0733994637361476
0,0,"A5","Bacteroidales","bac",6007,0.0793432749078709
0,0,"A5","Burkholderiales","bac",1090,0.0143972315048409
0,0,"A5","Capnodiales","euk",3,0.000860585197934596
0,0,"A5","Chromulinales","euk",4,0.00114744693057946
0,0,"A5","Clostridiales","bac",13292,0.175566973543436
0,0,"A5","Coccidia","euk",18,0.00516351118760757
0,0,"A5","Coleoptera","euk",0,0
0,0,"A5","Collembola","euk",0,0
0,0,"A5","Conthreep","euk",181,0.0519219736087206
0,0,"A5","Diptera","euk",24,0.00688468158347676
0,0,"A5","Enterobacteriales","bac",360,0.00475504893737865
0,0,"A5","Eurotiales","euk",24,0.00688468158347676
0,0,"A5","Eustigmatales","euk",0,0
0,0,"A5","Fabales","euk",19,0.00545037292025244
0,0,"A5","Filobasidiales","euk",24,0.00688468158347676
0,0,"A5","Flavobacteriales","bac",4767,0.0629647730124556
0,0,"A5","JG30_KF_CM45","bac",2031,0.0268264010883779
0,0,"A5","Lactobacillales","bac",8038,0.106169675996249
0,0,"A5","Liliopsida","euk",113,0.0324153757888698
0,0,"A5","Litostomatea","euk",638,0.183017785427424
0,0,"A5","Malasseziales","euk",0,0
0,0,"A5","Metakinetoplastina","euk",2,0.00057372346528973
0,0,"A5","Mucorales","euk",20,0.0057372346528973
0,0,"A5","Peronosporomycetes","euk",12,0.00344234079173838
0,0,"A5","Pleosporales","euk",3,0.000860585197934596
0,0,"A5","Pseudomonadales","bac",5042,0.0665971020618421
0,0,"A5","Ranunculales","euk",0,0
0,0,"A5","Rare","bac",3479,0.0459522645920565
0,0,"A5","Rare","euk",155,0.0444635685599541
0,0,"A5","Rhabditida","euk",1296,0.371772805507745
0,0,"A5","Rhizobiales","bac",795,0.0105007330700445
0,0,"A5","Saccharomycetales","euk",867,0.248709122203098
0,0,"A5","Sphingobacteriales","bac",965,0.0127461728460289
0,0,"A5","Spirotrichea","euk",5,0.00143430866322433
0,0,"A5","Sporidiobolales","euk",1,0.000286861732644865
0,0,"A5","Taphrinales","euk",0,0
0,0,"A5","Tremellales","euk",2,0.00057372346528973
0,0,"A5","Trichosporonales","euk",74,0.02122776821572
0,0,"A5","Turicibacterales","bac",446,0.00589097729464132
0,0,"A5","Xanthomonadales","bac",1105,0.0145953585438983
0,0,"A6","Acari","euk",0,0
0,0,"A6","Actinomycetales","bac",14626,0.250913520097442
0,0,"A6","Ascaridida","euk",3,0.000679347826086957
0,0,"A6","Bacillales","bac",4536,0.0778164725257759
0,0,"A6","Bacteroidales","bac",478,0.00820023674323652
0,0,"A6","Burkholderiales","bac",932,0.0159887461186118
0,0,"A6","Capnodiales","euk",19,0.00430253623188406
0,0,"A6","Chromulinales","euk",17,0.00384963768115942
0,0,"A6","Clostridiales","bac",7388,0.126743408073287
0,0,"A6","Coccidia","euk",13,0.00294384057971014
0,0,"A6","Coleoptera","euk",0,0
0,0,"A6","Collembola","euk",0,0
0,0,"A6","Conthreep","euk",48,0.0108695652173913
0,0,"A6","Diptera","euk",171,0.0387228260869565
0,0,"A6","Enterobacteriales","bac",12221,0.209655006776346
0,0,"A6","Eurotiales","euk",46,0.0104166666666667
0,0,"A6","Eustigmatales","euk",13,0.00294384057971014
0,0,"A6","Fabales","euk",30,0.00679347826086957
0,0,"A6","Filobasidiales","euk",34,0.00769927536231884
0,0,"A6","Flavobacteriales","bac",4392,0.0753461083186084
